id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
81,Adam,Smith,45,84.25,0.12,0.0,0.0666666666666666,0.6,0,0.006,0.00625,0.05,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
81,Adam,Smith,45,84.25,0.12,0.0,0.0666666666666666,0.6,0,0.006,0.00625,0.05,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
85,Illia,Zabarnyi,44,90.0,0.0,0.0,0.023076923076923,0.3,0,0.012,0.0116666666666666,0.1399999999999999,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
85,Illia,Zabarnyi,44,90.0,0.0,0.0,0.023076923076923,0.3,0,0.012,0.0116666666666666,0.1399999999999999,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
85,Illia,Zabarnyi,44,90.0,0.0,0.0,0.023076923076923,0.3,0,0.012,0.0116666666666666,0.1399999999999999,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
580,Dean,Huijsen,43,14.25,0.02,0.0,0.02,0.04,0,0.005,0.01,0.01,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
580,Dean,Huijsen,43,14.25,0.02,0.0,0.02,0.04,0,0.005,0.01,0.01,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
580,Dean,Huijsen,43,14.25,0.02,0.0,0.02,0.04,0,0.005,0.01,0.01,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
592,Julián,Araujo Zúñiga,44,8.75,0.0,0.0,0.0,0.0,0,0.0066666666666666,0.005,0.02,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
592,Julián,Araujo Zúñiga,44,8.75,0.0,0.0,0.0,0.0,0,0.0066666666666666,0.005,0.02,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
592,Julián,Araujo Zúñiga,44,8.75,0.0,0.0,0.0,0.0,0,0.0066666666666666,0.005,0.02,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
680,Max,Kinsey,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
680,Max,Kinsey,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
680,Max,Kinsey,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
86,Kristoffer,Ajer,44,0.0,0.0,0.0,0.04,0.28,0,0.018,0.0133333333333333,0.1,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
86,Kristoffer,Ajer,44,0.0,0.0,0.0,0.04,0.28,0,0.018,0.0133333333333333,0.1,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
86,Kristoffer,Ajer,44,0.0,0.0,0.0,0.04,0.28,0,0.018,0.0133333333333333,0.1,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
88,Nathan,Collins,45,90.0,0.098,0.0769230769230769,0.133076923076923,1.73,1,0.09,0.0525,0.78,4,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
88,Nathan,Collins,45,90.0,0.098,0.0769230769230769,0.133076923076923,1.73,1,0.09,0.0525,0.78,4,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
88,Nathan,Collins,45,90.0,0.098,0.0769230769230769,0.133076923076923,1.73,1,0.09,0.0525,0.78,4,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
92,Rico,Henry,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
92,Rico,Henry,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
92,Rico,Henry,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
93,Aaron,Hickey,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
93,Aaron,Hickey,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
93,Aaron,Hickey,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
96,Kim,Ji-soo,39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
96,Kim,Ji-soo,39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
96,Kim,Ji-soo,39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
100,Ben,Mee,42,0.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
100,Ben,Mee,42,0.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
100,Ben,Mee,42,0.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
104,Ethan,Pinnock,45,90.0,0.006,0.0,0.0669230769230769,0.87,2,0.072,0.0441666666666666,0.55,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
